PID,Visit
510,1
510,1
510,1
510,1
510,2
510,2
510,2
510,2
521,1
521,1
521,1
521,2
521,2
521,2
523,1
523,1
523,1
523,2
523,2
523,2
537,1
537,1
537,1
537,2
537,2
537,2
538,1
538,1
538,1
538,2
538,2
538,2
541,1
541,1
541,1
541,2
541,2
541,2
556,1
556,1
556,1
556,2
556,2
556,2
556,2
559,1
559,1
559,1
559,2
559,2
559,2
559,2
559,2
560,1
560,1
560,1
560,2
560,2
560,2
562,1
562,1
562,1
562,2
562,2
562,2
565,1
565,1
565,1
565,1
565,2
565,2
565,2
565,2
565,2
565,2
566,1
566,1
566,1
566,2
566,2
566,2
570,1
570,1
570,1
570,1
570,1
570,1
570,1
570,1
570,2
570,2
570,2
572,1
572,1
572,1
572,1
572,1
572,2
572,2
572,2
572,2
572,2
572,2
573,1
573,1
573,1
573,2
573,2
573,2
577,1
577,1
577,1
577,2
577,2
577,2
578,1
578,1
578,1
578,2
578,2
578,2
578,2
579,1
579,1
579,1
579,1
579,1
579,1
579,2
579,2
579,2
579,2
579,2
582,1
582,1
582,1
582,1
582,2
582,2
582,2
582,2
585,1
585,1
585,1
585,2
585,2
585,2
587,1
587,1
587,1
587,2
587,2
587,2
588,1
588,1
588,1
588,2
588,2
588,2
589,1
589,1
589,1
589,2
589,2
589,2
591,1
591,1
591,1
591,1
591,1
591,2
591,2
591,2
591,2
591,2
591,2
591,2
595,1
595,1
595,1
595,2
595,2
595,2
603,1
603,1
603,1
603,1
603,2
603,2
603,2
603,2
603,2
603,2
603,2
603,2
608,1
608,1
608,1
608,2
608,2
608,2
613,1
613,1
613,1
613,2
613,2
613,2
618,1
618,1
618,1
618,2
618,2
618,2
619,1
619,1
619,1
619,2
619,2
619,2
567,2
567,2
567,2
567,2
567,1
567,1
567,1
567,1
567,1
585,1
585,1
585,1
585,2
585,2
585,2
600,1
600,1
600,1
600,2
600,2
600,2
600,2
602,1
602,1
602,1
602,2
602,2
602,2
606,1
606,1
606,1
606,2
606,2
606,2
614,1
614,1
614,1
614,2
614,2
614,2
